@T,table
Created,2022-03-02 16:34
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0.0
,2013-12-15 01:00,0.0
,2013-12-15 02:00,0.0
,2013-12-15 03:00,0.0
,2013-12-15 04:00,0.0
,2013-12-15 05:00,0.0
,2013-12-15 06:00,0.0
,2013-12-15 07:00,65.39354050616674
,2013-12-15 08:00,191.61979683567762
,2013-12-15 09:00,278.8008609949439
,2013-12-15 10:00,321.8890731351582
,2013-12-15 11:00,314.8899351343596
,2013-12-15 12:00,261.16325281861924
,2013-12-15 13:00,161.00949771320575
,2013-12-15 14:00,23.765534311975557
,2013-12-15 15:00,0.0
,2013-12-15 16:00,0.0
,2013-12-15 17:00,0.0
,2013-12-15 18:00,0.0
,2013-12-15 19:00,0.0
,2013-12-15 20:00,0.0
,2013-12-15 21:00,0.0
,2013-12-15 22:00,0.0
,2013-12-15 23:00,0.0
,2013-12-16 00:00,0.0
,2013-12-16 01:00,0.0
,2013-12-16 02:00,0.0
,2013-12-16 03:00,0.0
,2013-12-16 04:00,0.0
,2013-12-16 05:00,0.0
,2013-12-16 06:00,0.0
,2013-12-16 07:00,66.70119290835237
,2013-12-16 08:00,193.08566719449834
,2013-12-16 09:00,280.1603428055082
,2013-12-16 10:00,323.1785610758216
,2013-12-16 11:00,315.10840280053867
,2013-12-16 12:00,260.51631671045135
,2013-12-16 13:00,161.70265878687258
,2013-12-16 14:00,24.61155141871427
,2013-12-16 15:00,0.0
,2013-12-16 16:00,0.0
,2013-12-16 17:00,0.0
,2013-12-16 18:00,0.0
,2013-12-16 19:00,0.0
,2013-12-16 20:00,0.0
,2013-12-16 21:00,0.0
,2013-12-16 22:00,0.0
,2013-12-16 23:00,0.0
,2013-12-17 00:00,0.0
,2013-12-17 01:00,0.0
,2013-12-17 02:00,0.0
,2013-12-17 03:00,0.0
,2013-12-17 04:00,0.0
,2013-12-17 05:00,0.0
,2013-12-17 06:00,0.0
,2013-12-17 07:00,64.60621941258353
,2013-12-17 08:00,190.29649982024665
,2013-12-17 09:00,275.31692609104545
,2013-12-17 10:00,319.79680968183874
,2013-12-17 11:00,312.5459789621725
,2013-12-17 12:00,260.3662315190545
,2013-12-17 13:00,160.71660182352485
,2013-12-17 14:00,24.07697327760036
,2013-12-17 15:00,0.0
,2013-12-17 16:00,0.0
,2013-12-17 17:00,0.0
,2013-12-17 18:00,0.0
,2013-12-17 19:00,0.0
,2013-12-17 20:00,0.0
,2013-12-17 21:00,0.0
,2013-12-17 22:00,0.0
,2013-12-17 23:00,0.0
,2013-12-18 00:00,0.0
,2013-12-18 01:00,0.0
,2013-12-18 02:00,0.0
,2013-12-18 03:00,0.0
,2013-12-18 04:00,0.0
,2013-12-18 05:00,0.0
,2013-12-18 06:00,0.0
,2013-12-18 07:00,65.58691487343401
,2013-12-18 08:00,190.4701991403304
,2013-12-18 09:00,274.84148701170363
,2013-12-18 10:00,316.936614706456
,2013-12-18 11:00,311.9437040713676
,2013-12-18 12:00,258.6471571509837
,2013-12-18 13:00,159.84250774366228
,2013-12-18 14:00,23.644014493521638
,2013-12-18 15:00,0.0
,2013-12-18 16:00,0.0
,2013-12-18 17:00,0.0
,2013-12-18 18:00,0.0
,2013-12-18 19:00,0.0
,2013-12-18 20:00,0.0
,2013-12-18 21:00,0.0
,2013-12-18 22:00,0.0
,2013-12-18 23:00,0.0
,2013-12-19 00:00,0.0
,2013-12-19 01:00,0.0
,2013-12-19 02:00,0.0
,2013-12-19 03:00,0.0
,2013-12-19 04:00,0.0
,2013-12-19 05:00,0.0
,2013-12-19 06:00,0.0
,2013-12-19 07:00,65.17088931497284
,2013-12-19 08:00,191.92941098702522
,2013-12-19 09:00,277.2486742654808
,2013-12-19 10:00,319.03417629308757
,2013-12-19 11:00,312.9734127395653
,2013-12-19 12:00,262.0727574749181
,2013-12-19 13:00,161.77176028175955
,2013-12-19 14:00,25.67954791611095
,2013-12-19 15:00,0.0
,2013-12-19 16:00,0.0
,2013-12-19 17:00,0.0
,2013-12-19 18:00,0.0
,2013-12-19 19:00,0.0
,2013-12-19 20:00,0.0
,2013-12-19 21:00,0.0
,2013-12-19 22:00,0.0
,2013-12-19 23:00,0.0
,2013-12-20 00:00,0.0
,2013-12-20 01:00,0.0
,2013-12-20 02:00,0.0
,2013-12-20 03:00,0.0
,2013-12-20 04:00,0.0
,2013-12-20 05:00,0.0
,2013-12-20 06:00,0.0
,2013-12-20 07:00,62.38755992627057
,2013-12-20 08:00,188.8432179926022
,2013-12-20 09:00,274.8310053175418
,2013-12-20 10:00,317.34816956625593
,2013-12-20 11:00,311.7002905674334
,2013-12-20 12:00,259.7749817957777
,2013-12-20 13:00,161.70563261579576
,2013-12-20 14:00,26.058640703717117
,2013-12-20 15:00,0.0
,2013-12-20 16:00,0.0
,2013-12-20 17:00,0.0
,2013-12-20 18:00,0.0
,2013-12-20 19:00,0.0
,2013-12-20 20:00,0.0
,2013-12-20 21:00,0.0
,2013-12-20 22:00,0.0
,2013-12-20 23:00,0.0
,2013-12-21 00:00,0.0
,2013-12-21 01:00,0.0
,2013-12-21 02:00,0.0
,2013-12-21 03:00,0.0
,2013-12-21 04:00,0.0
,2013-12-21 05:00,0.0
,2013-12-21 06:00,0.0
,2013-12-21 07:00,59.47135864771229
,2013-12-21 08:00,186.3597949081498
,2013-12-21 09:00,275.46947618923366
,2013-12-21 10:00,317.80021462818326
,2013-12-21 11:00,312.91671467406826
,2013-12-21 12:00,262.2911981604775
,2013-12-21 13:00,163.56854450559996
,2013-12-21 14:00,29.32828766161788
,2013-12-21 15:00,0.0
,2013-12-21 16:00,0.0
,2013-12-21 17:00,0.0
,2013-12-21 18:00,0.0
,2013-12-21 19:00,0.0
,2013-12-21 20:00,0.0
,2013-12-21 21:00,0.0
,2013-12-21 22:00,0.0
,2013-12-21 23:00,0.0
,2013-12-22 00:00,0.0
,2013-12-22 01:00,0.0
,2013-12-22 02:00,0.0
,2013-12-22 03:00,0.0
,2013-12-22 04:00,0.0
,2013-12-22 05:00,0.0
,2013-12-22 06:00,0.0
