@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,87.35
,2015-07-21 01:00,84.5
,2015-07-21 02:00,85.575
,2015-07-21 03:00,86.025
,2015-07-21 04:00,87.25
,2015-07-21 05:00,87.3
,2015-07-21 06:00,87.075
,2015-07-21 07:00,83.05
,2015-07-21 08:00,72.4075
,2015-07-21 09:00,72.1025
,2015-07-21 10:00,66.14
,2015-07-21 11:00,67.4525
,2015-07-21 12:00,59.9425
,2015-07-21 13:00,52.8825
,2015-07-21 14:00,45.735
,2015-07-21 15:00,42.7275
,2015-07-21 16:00,43.96
,2015-07-21 17:00,45.815
,2015-07-21 18:00,48.995
,2015-07-21 19:00,52.855
,2015-07-21 20:00,58.97
,2015-07-21 21:00,63.5825
,2015-07-21 22:00,67.1325
,2015-07-21 23:00,70.48
