@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,-9.0725
,2015-07-21 01:00,-9.145
,2015-07-21 02:00,-9.695
,2015-07-21 03:00,-10.4025
,2015-07-21 04:00,-11.0275
,2015-07-21 05:00,-12.0375
,2015-07-21 06:00,-12.6275
,2015-07-21 07:00,-12.3725
,2015-07-21 08:00,-9.80675
,2015-07-21 09:00,-1.45025
,2015-07-21 10:00,12.28625
,2015-07-21 11:00,26.265
,2015-07-21 12:00,38.02
,2015-07-21 13:00,46.705
,2015-07-21 14:00,51.74
,2015-07-21 15:00,53.055
,2015-07-21 16:00,51.5175
,2015-07-21 17:00,46.9625
,2015-07-21 18:00,38.7775
,2015-07-21 19:00,29.155
,2015-07-21 20:00,18.6375
,2015-07-21 21:00,9.16625
,2015-07-21 22:00,2.665
,2015-07-21 23:00,-1.22775
