@T,table,
@H,timestamp,val_4
val,  ,4
,2011-01-01 00:00,1.5538030424
,2011-01-01 00:30,-9999
,2011-01-01 01:00,-9999
,2011-01-01 01:30,-9999
,2011-01-01 02:00,1.2017013233
,2011-01-01 02:30,-9999
,2011-01-01 03:00,-9999
,2011-01-01 03:30,-9999
,2011-01-01 04:00,0.9125977934
,2011-01-01 04:30,-9999
,2011-01-01 05:00,14.5691315136
,2011-01-01 05:30,4.9409266409
,2011-01-01 06:00,7.184260355
,2011-01-01 06:30,-9999
,2011-01-01 07:00,-9999
,2011-01-01 07:30,3.5052501624
,2011-01-01 08:00,-9999
,2011-01-01 08:30,4.717342918
,2011-01-01 09:00,0.9614105793
,2011-01-01 09:30,0.4710763209
,2011-01-01 10:00,-9999
,2011-01-01 10:30,0.0905194805
,2011-01-01 11:00,2.695115758
,2011-01-01 11:30,6.0458095238
,2011-01-01 12:00,-9999
,2011-01-01 12:30,-9999
,2011-01-01 13:00,-9999
,2011-01-01 13:30,-9999
,2011-01-01 14:00,1.5595099183
,2011-01-01 14:30,-9999
,2011-01-01 15:00,-9999
,2011-01-01 15:30,1.0189030167
,2011-01-01 16:00,-9999
,2011-01-01 16:30,-9999
,2011-01-01 17:00,39.1901694915
,2011-01-01 17:30,-9999
,2011-01-01 18:00,-9999
,2011-01-01 18:30,-9999
,2011-01-01 19:00,-9999
,2011-01-01 19:30,-9999
,2011-01-01 20:00,0.2088040712
,2011-01-01 20:30,-9999
,2011-01-01 21:00,0.8361910648
,2011-01-01 21:30,0.7232408005
,2011-01-01 22:00,1.1358542863
,2011-01-01 22:30,0.6109670987
,2011-01-01 23:00,-9999
,2011-01-01 23:30,3.8586309094
,2011-01-02 00:00,17.634051333
,2011-01-02 00:30,13.3035693299
,2011-01-02 01:00,-9999
,2011-01-02 01:30,23.2902248246
,2011-01-02 02:00,0.6859965424
,2011-01-02 02:30,2.357229097
,2011-01-02 03:00,-9999
,2011-01-02 03:30,0.0871478873
,2011-01-02 04:00,-9999
,2011-01-02 04:30,0.1582086879
,2011-01-02 05:00,2.1406304729
,2011-01-02 05:30,0.0709053309
,2011-01-02 06:00,-9999
,2011-01-02 06:30,1.5158479532
,2011-01-02 07:00,-9999
,2011-01-02 07:30,-9999
,2011-01-02 08:00,-9999
,2011-01-02 08:30,0.7306139933
,2011-01-02 09:00,-9999
,2011-01-02 09:30,2.5547081712
,2011-01-02 10:00,-9999
,2011-01-02 10:30,-9999
,2011-01-02 11:00,6.7131011827
,2011-01-02 11:30,1.1240875133
,2011-01-02 12:00,2.9558668516
,2011-01-02 12:30,-9999
,2011-01-02 13:00,-9999
,2011-01-02 13:30,-9999
,2011-01-02 14:00,-9999
,2011-01-02 14:30,-9999
,2011-01-02 15:00,-9999
,2011-01-02 15:30,-9999
,2011-01-02 16:00,-9999
,2011-01-02 16:30,-9999
,2011-01-02 17:00,-9999
,2011-01-02 17:30,-9999
,2011-01-02 18:00,-9999
,2011-01-02 18:30,-9999
,2011-01-02 19:00,-9999
,2011-01-02 19:30,12.8193824588
,2011-01-02 20:00,3.6280254777
,2011-01-02 20:30,-9999
,2011-01-02 21:00,16.7285181205
