@T,table,
@H,timestamp,value_4
val,  ,4
,2011-01-01 00:00,-39.23
,2011-01-01 00:30,3.57
,2011-01-01 01:00,2.63
,2011-01-01 01:30,2.98
,2011-01-01 02:00,3.08
,2011-01-01 02:30,2.98
,2011-01-01 03:00,3.11
,2011-01-01 03:30,3.16
,2011-01-01 04:00,2.98
,2011-01-01 04:30,2.69
,2011-01-01 05:00,3.71
,2011-01-01 05:30,3.43
,2011-01-01 06:00,2.65
,2011-01-01 06:30,3.91
,2011-01-01 07:00,3.14
,2011-01-01 07:30,3.22
,2011-01-01 08:00,2.88
,2011-01-01 08:30,3.17
,2011-01-01 09:00,3.63
,2011-01-01 09:30,2.42
,2011-01-01 10:00,4.57
,2011-01-01 10:30,3.43
,2011-01-01 11:00,3.28
,2011-01-01 11:30,3.82
,2011-01-01 12:00,3.37
,2011-01-01 12:30,3.1
,2011-01-01 13:00,3.95
,2011-01-01 13:30,3.35
,2011-01-01 14:00,3.6
,2011-01-01 14:30,3.13
,2011-01-01 15:00,4.03
,2011-01-01 15:30,3.57
,2011-01-01 16:00,3.42
,2011-01-01 16:30,3.53
,2011-01-01 17:00,3.73
,2011-01-01 17:30,2.41
,2011-01-01 18:00,4.15
,2011-01-01 18:30,3.88
,2011-01-01 19:00,2.93
,2011-01-01 19:30,3.85
,2011-01-01 20:00,3.39
,2011-01-01 20:30,3.68
,2011-01-01 21:00,3.48
,2011-01-01 21:30,3.38
,2011-01-01 22:00,4.36
,2011-01-01 22:30,2.89
,2011-01-01 23:00,3.25
,2011-01-01 23:30,3.47
,2011-01-02 00:00,3.46
,2011-01-02 00:30,4.02
,2011-01-02 01:00,-9999
,2011-01-02 01:30,3.45
,2011-01-02 02:00,3.94
,2011-01-02 02:30,2.37
,2011-01-02 03:00,4.25
,2011-01-02 03:30,3.44
,2011-01-02 04:00,2.71
,2011-01-02 04:30,3.97
,2011-01-02 05:00,3.65
,2011-01-02 05:30,3.23
,2011-01-02 06:00,3.78
,2011-01-02 06:30,3.32
,2011-01-02 07:00,3.37
,2011-01-02 07:30,3.99
,2011-01-02 08:00,3.33
,2011-01-02 08:30,3.18
,2011-01-02 09:00,3.34
,2011-01-02 09:30,3.46
,2011-01-02 10:00,-9999
,2011-01-02 10:30,-9999
,2011-01-02 11:00,4.13
,2011-01-02 11:30,3.37
,2011-01-02 12:00,3.51
,2011-01-02 12:30,3.65
,2011-01-02 13:00,3.73
,2011-01-02 13:30,3.19
,2011-01-02 14:00,3.68
,2011-01-02 14:30,3.24
