@T,table,
@H,timestamp,value_4
val,  ,4
,2011-01-01 00:00,-12.19
,2011-01-01 00:30,-23.57
,2011-01-01 01:00,19.04
,2011-01-01 01:30,-3.19
,2011-01-01 02:00,-16.27
,2011-01-01 02:30,-22.39
,2011-01-01 03:00,-23.75
,2011-01-01 03:30,-38.61
,2011-01-01 04:00,-18
,2011-01-01 04:30,-31.6
,2011-01-01 05:00,-2.64
,2011-01-01 05:30,-11.72
,2011-01-01 06:00,-6.75
,2011-01-01 06:30,-24.17
,2011-01-01 07:00,-2.72
,2011-01-01 07:30,-12.77
,2011-01-01 08:00,-45.64
,2011-01-01 08:30,-51.81
,2011-01-01 09:00,-24.12
,2011-01-01 09:30,-19.48
,2011-01-01 10:00,-4.43
,2011-01-01 10:30,-1.8
,2011-01-01 11:00,-11.56
,2011-01-01 11:30,-10.72
,2011-01-01 12:00,-3.07
,2011-01-01 12:30,15.28
,2011-01-01 13:00,-11.27
,2011-01-01 13:30,-3.24
,2011-01-01 14:00,-7.58
,2011-01-01 14:30,-0.45
,2011-01-01 15:00,-6.7
,2011-01-01 15:30,-37.78
,2011-01-01 16:00,-3.7
,2011-01-01 16:30,7.21
,2011-01-01 17:00,-0.39
,2011-01-01 17:30,-10.93
,2011-01-01 18:00,-18.15
,2011-01-01 18:30,-61.07
,2011-01-01 19:00,-47.83
,2011-01-01 19:30,-54.27
,2011-01-01 20:00,-22.92
,2011-01-01 20:30,-54.82
,2011-01-01 21:00,-55.78
,2011-01-01 21:30,-45.45
,2011-01-01 22:00,-49.11
,2011-01-01 22:30,-49.35
,2011-01-01 23:00,-51.62
,2011-01-01 23:30,-65.22
,2011-01-02 00:00,-127.73
,2011-01-02 00:30,-94.03
,2011-01-02 01:00,-9999
,2011-01-02 01:30,-164.8
,2011-01-02 02:00,-38.89
,2011-01-02 02:30,-56.97
,2011-01-02 03:00,-44.52
,2011-01-02 03:30,-39.62
,2011-01-02 04:00,-62.74
,2011-01-02 04:30,-21.69
,2011-01-02 05:00,-14.58
,2011-01-02 05:30,-21.39
,2011-01-02 06:00,-28.2
,2011-01-02 06:30,-8.06
,2011-01-02 07:00,-24.42
,2011-01-02 07:30,-24
,2011-01-02 08:00,-20.74
,2011-01-02 08:30,20.55
,2011-01-02 09:00,1.53
,2011-01-02 09:30,6.84
,2011-01-02 10:00,-9999
,2011-01-02 10:30,-9999
,2011-01-02 11:00,-4.51
,2011-01-02 11:30,6.88
,2011-01-02 12:00,-6.08
,2011-01-02 12:30,7.97
