@T,table
Created,2023-02-14 15:37
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,3.7636993798949374E-4
,2014-01-01 01:00,3.7840967787011346E-4
,2014-01-01 02:00,3.7554033250425335E-4
,2014-01-01 03:00,3.7280499207289873E-4
,2014-01-01 04:00,3.7310695247274033E-4
,2014-01-01 05:00,3.722694987686332E-4
,2014-01-01 06:00,3.720848156836873E-4
,2014-01-01 07:00,0.03607179967165075
,2014-01-01 08:00,0.13638838816919596
,2014-01-01 09:00,0.21082741855187792
,2014-01-01 10:00,0.25261383825241995
,2014-01-01 11:00,0.2575540376121642
,2014-01-01 12:00,0.2210744465852591
,2014-01-01 13:00,0.14400828155666762
,2014-01-01 14:00,0.0379157964033432
,2014-01-01 15:00,4.0249147342181016E-4
,2014-01-01 16:00,3.942404364806163E-4
,2014-01-01 17:00,3.893096481725685E-4
,2014-01-01 18:00,3.8558268553681154E-4
,2014-01-01 19:00,3.812300880429747E-4
,2014-01-01 20:00,3.758052446544996E-4
,2014-01-01 21:00,3.7401186855941443E-4
,2014-01-01 22:00,3.727916895631329E-4
,2014-01-01 23:00,3.711268831392351E-4
,2014-01-02 00:00,3.705523666243512E-4

