@T,table
Created,2023-02-14 17:18
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,2.1210790045397262E-4
,2014-01-01 01:00,2.1491013411417253E-4
,2014-01-01 02:00,2.1232981318530748E-4
,2014-01-01 03:00,2.0989919469672867E-4
,2014-01-01 04:00,2.1079323067973104E-4
,2014-01-01 05:00,2.1043972466481119E-4
,2014-01-01 06:00,2.107992114105419E-4
,2014-01-01 07:00,0.020665970448874447
,2014-01-01 08:00,0.07795145585705611
,2014-01-01 09:00,0.12266265962035908
,2014-01-01 10:00,0.15055011132730542
,2014-01-01 11:00,0.1584017412761481
,2014-01-01 12:00,0.1383965717453542
,2014-01-01 13:00,0.08826083101140206
,2014-01-01 14:00,0.02378700912008408
,2014-01-01 15:00,2.489169415036884E-4
,2014-01-01 16:00,2.4046636680743843E-4
,2014-01-01 17:00,2.356333515998557E-4
,2014-01-01 18:00,2.3211380316124922E-4
,2014-01-01 19:00,2.2791708351576053E-4
,2014-01-01 20:00,2.2255962903295625E-4
,2014-01-01 21:00,2.2115110906123975E-4
,2014-01-01 22:00,2.203653650522148E-4
,2014-01-01 23:00,2.1909754175863144E-4
,2014-01-02 00:00,2.190118946679557E-4

