@T,table
Created,2022-02-16 15:50
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0.028551077099913343
,2013-12-15 01:00,0.02909228738938822
,2013-12-15 02:00,0.0288757505988379
,2013-12-15 03:00,0.030245673115873867
,2013-12-15 04:00,0.030612036669859646
,2013-12-15 05:00,0.030318983403632663
,2013-12-15 06:00,0.03027482404857796
,2013-12-15 07:00,0.029836870559133782
,2013-12-15 08:00,0.05800833968635145
,2013-12-15 09:00,0.09586850001276294
,2013-12-15 10:00,0.11716740403741853
,2013-12-15 11:00,0.1296059352244836
,2013-12-15 12:00,0.1267806486816982
,2013-12-15 13:00,0.1189389453202247
,2013-12-15 14:00,0.09882765961594607
,2013-12-15 15:00,0.06683284563052859
,2013-12-15 16:00,0.03299764445066733
,2013-12-15 17:00,0.03009747600129214
,2013-12-15 18:00,0.029207602141782522
,2013-12-15 19:00,0.028922007732933193
,2013-12-15 20:00,0.02871456198244561

