@T,table
Created,2022-03-04 23:32
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,0.0
,2014-01-01 01:00,0.0
,2014-01-01 02:00,0.0
,2014-01-01 03:00,0.0
,2014-01-01 04:00,0.0
,2014-01-01 05:00,0.0
,2014-01-01 06:00,0.0
,2014-01-01 07:00,0.0
,2014-01-01 08:00,38.600162275735585
,2014-01-01 09:00,83.8329384743538
,2014-01-01 10:00,98.38546036685659
,2014-01-01 11:00,95.71587344044255
,2014-01-01 12:00,82.4660544322529
,2014-01-01 13:00,61.03007991715848
,2014-01-01 14:00,29.221498162486274
,2014-01-01 15:00,-1.9912590832264732
,2014-01-01 16:00,-0.48246200472511735
,2014-01-01 17:00,0.0
,2014-01-01 18:00,0.0
,2014-01-01 19:00,-0.0
,2014-01-01 20:00,-0.0
,2014-01-01 21:00,0.0
,2014-01-01 22:00,0.0
,2014-01-01 23:00,0.0
,2014-01-02 00:00,0.0
,2014-01-02 01:00,0.0
,2014-01-02 02:00,0.0
,2014-01-02 03:00,0.0
,2014-01-02 04:00,0.0
,2014-01-02 05:00,-0.0
,2014-01-02 06:00,0.0
,2014-01-02 07:00,0.0
,2014-01-02 08:00,38.79198210306947
,2014-01-02 09:00,81.9509977783402
,2014-01-02 10:00,93.56529033652909
,2014-01-02 11:00,90.46927373160274
,2014-01-02 12:00,78.03615224522771
,2014-01-02 13:00,55.79065811321999
,2014-01-02 14:00,26.812963541350857
,2014-01-02 15:00,-2.425518074596461
,2014-01-02 16:00,-0.5665670348744924
,2014-01-02 17:00,0.0
,2014-01-02 18:00,0.0
,2014-01-02 19:00,0.0
,2014-01-02 20:00,0.0
,2014-01-02 21:00,0.0
,2014-01-02 22:00,0.0
,2014-01-02 23:00,0.0
,2014-01-03 00:00,0.0
,2014-01-03 01:00,0.0
,2014-01-03 02:00,0.0
,2014-01-03 03:00,0.0
,2014-01-03 04:00,0.0
,2014-01-03 05:00,0.0
,2014-01-03 06:00,0.0
,2014-01-03 07:00,0.0
,2014-01-03 08:00,37.81092026044578
,2014-01-03 09:00,82.47361061876252
,2014-01-03 10:00,97.09915768192784
,2014-01-03 11:00,93.59616879800078
,2014-01-03 12:00,81.07551058449819
,2014-01-03 13:00,58.46393121264524
,2014-01-03 14:00,27.93711114937139
,2014-01-03 15:00,-2.2998406044359743
,2014-01-03 16:00,-0.5771776214777482
,2014-01-03 17:00,0.0
,2014-01-03 18:00,0.0
,2014-01-03 19:00,0.0
,2014-01-03 20:00,0.0
,2014-01-03 21:00,0.0
,2014-01-03 22:00,0.0
,2014-01-03 23:00,0.0
,2014-01-04 00:00,0.0
,2014-01-04 01:00,0.0
,2014-01-04 02:00,0.0
,2014-01-04 03:00,0.0
,2014-01-04 04:00,0.0
,2014-01-04 05:00,0.0
,2014-01-04 06:00,0.0
,2014-01-04 07:00,0.0
,2014-01-04 08:00,37.15183946111051
,2014-01-04 09:00,81.82375116568784
,2014-01-04 10:00,93.8273540557503
,2014-01-04 11:00,91.39983043629715
,2014-01-04 12:00,81.09944690683712
,2014-01-04 13:00,59.481285806861976
,2014-01-04 14:00,28.929326938995047
,2014-01-04 15:00,-2.250193214002166
,2014-01-04 16:00,-0.6168300472610794
,2014-01-04 17:00,0.0
,2014-01-04 18:00,0.0
,2014-01-04 19:00,0.0
,2014-01-04 20:00,0.0
,2014-01-04 21:00,0.0
,2014-01-04 22:00,0.0
,2014-01-04 23:00,0.0
,2014-01-05 00:00,0.0
,2014-01-05 01:00,0.0
,2014-01-05 02:00,0.0
,2014-01-05 03:00,0.0
,2014-01-05 04:00,0.0
,2014-01-05 05:00,0.0
,2014-01-05 06:00,0.0
,2014-01-05 07:00,0.0
,2014-01-05 08:00,37.16000169498624
,2014-01-05 09:00,80.93754417613353
,2014-01-05 10:00,96.57379109084097
,2014-01-05 11:00,94.84813459984987
,2014-01-05 12:00,81.01331623694107
,2014-01-05 13:00,58.67993588250171
,2014-01-05 14:00,30.26702325716592
,2014-01-05 15:00,-2.0015901871660717
,2014-01-05 16:00,-0.5769660564079689
,2014-01-05 17:00,0.0
,2014-01-05 18:00,0.0
,2014-01-05 19:00,-0.0
,2014-01-05 20:00,0.0
,2014-01-05 21:00,0.0
,2014-01-05 22:00,0.0
,2014-01-05 23:00,0.0
,2014-01-06 00:00,0.0
,2014-01-06 01:00,0.0
,2014-01-06 02:00,-0.0
,2014-01-06 03:00,0.0
,2014-01-06 04:00,0.0
,2014-01-06 05:00,0.0
,2014-01-06 06:00,0.0
,2014-01-06 07:00,-0.0
,2014-01-06 08:00,39.25075107136446
,2014-01-06 09:00,86.0578295156179
,2014-01-06 10:00,101.09689720502637
,2014-01-06 11:00,99.47502670119071
,2014-01-06 12:00,86.1718009119601
,2014-01-06 13:00,63.6603365011875
,2014-01-06 14:00,32.21607326971575
,2014-01-06 15:00,-1.8671007356781353
,2014-01-06 16:00,-0.5855223459581615
,2014-01-06 17:00,-0.0
,2014-01-06 18:00,0.0
,2014-01-06 19:00,0.0
,2014-01-06 20:00,0.0
,2014-01-06 21:00,-0.0
,2014-01-06 22:00,0.0
,2014-01-06 23:00,0.0
,2014-01-07 00:00,0.0
,2014-01-07 01:00,-0.0
,2014-01-07 02:00,0.0
,2014-01-07 03:00,0.0
,2014-01-07 04:00,0.0
,2014-01-07 05:00,0.0
,2014-01-07 06:00,0.0
,2014-01-07 07:00,0.0
,2014-01-07 08:00,39.211388267156934
,2014-01-07 09:00,83.03843995030827
,2014-01-07 10:00,95.85085194941854
,2014-01-07 11:00,92.94932539028194
,2014-01-07 12:00,81.21219803609925
,2014-01-07 13:00,59.81315673163026
,2014-01-07 14:00,30.265468237201507
,2014-01-07 15:00,-2.2336875471040942
,2014-01-07 16:00,-0.7369136685159664
,2014-01-07 17:00,0.0
,2014-01-07 18:00,0.0
,2014-01-07 19:00,0.0
,2014-01-07 20:00,0.0
,2014-01-07 21:00,0.0
,2014-01-07 22:00,0.0
,2014-01-07 23:00,0.0
,2014-01-08 00:00,0.0
,2014-01-08 01:00,0.0
,2014-01-08 02:00,0.0
